1748,23.5431235431,24.8648648649,25.3246753247,5,2
1852,17.0163170163,18.9189189189,20.1298701299,55,6
1901,22.8438228438,21.6216216216,25.974025974,25,4
1911,24.2424242424,23.7837837838,25.974025974,13,6
1915,23.5431235431,24.3243243243,22.0779220779,15,6
1946,11.1888111888,11.8918918919,16.2337662338,123,9
