1,0,2,0,1,0,1,2,LEVEL1,0,1,0.598347,-1.42107
2,0,2,0,0,0,0,0,END,0,0,0,0
3,0,3,0,0,0,1,2,LEVEL2,1,0,0.773601,-0.273579
4,0,3,0,0,0,0,0,END,0,0,0,0
5,0,4,0,1,0,1,2,LEVEL3,0,2,-0.686325,0.0722314
6,0,4,1,0,0,3,4,LEVEL3,2,1,0.949797,0.0124427
7,0,4,2,1,0,5,6,LEVEL3,1,0,-309.11,375.757
8,0,4,0,0,0,0,0,END,0,0,0,0
9,0,5,0,1,0,1,2,LEVEL4,0,2,0.0362539,0.276504
10,0,5,2,0,0,3,4,LEVEL4,2,0,-0.0237326,1.3674
11,0,5,3,0,2,5,6,LEVEL4,0,1,-0.968611,-3.28903
12,0,5,0,0,0,0,0,END,0,0,0,0
13,0,6,0,0,0,1,2,LEVEL5,0,3,-0.754648,2.14027
14,0,6,1,0,0,3,4,LEVEL5,1,3,-1.06205,-1.87066
15,0,6,3,1,1,5,6,LEVEL5,2,0,0.181736,0.404742
16,0,6,0,0,0,0,0,END,0,0,0,0
17,0,7,0,2,0,1,2,LEVEL6,2,3,0.0393838,-0.211292
18,0,7,2,1,0,3,4,LEVEL6,0,2,-0.0177138,-0.277382
19,0,7,0,0,0,0,0,END,0,0,0,0
20,0,8,0,1,0,1,2,LEVEL7,0,2,0.196308,-0.867537
21,0,8,2,0,0,3,4,LEVEL7,1,3,1.98879,-1.4544
22,0,8,4,0,2,5,6,LEVEL7,1,0,-2.15031,-6.33223
23,0,8,0,0,0,0,0,END,0,0,0,0
24,0,10,0,1,0,1,2,LEVEL1,2,1,0.629081,-0.0341768
25,0,10,0,0,0,0,0,END,0,0,0,0
26,0,11,0,0,0,1,2,LEVEL2,2,3,-14.3266,14.8473
27,0,11,0,0,0,0,0,END,0,0,0,0
28,0,12,0,0,0,1,2,LEVEL3,1,0,0.693096,-0.232132
29,0,12,1,0,0,3,4,LEVEL3,2,0,-0.775948,-0.75224
30,0,12,4,0,1,5,6,LEVEL3,1,2,0.650384,-0.636581
31,0,12,5,0,4,7,8,LEVEL3,1,3,0.882109,1.1204
32,0,12,6,0,4,9,10,LEVEL3,2,3,-4.6386,7.0279
33,0,12,2,0,0,11,12,LEVEL3,2,1,0.920223,0.600427
34,0,12,12,0,2,13,14,LEVEL3,0,2,-0.380727,-0.0250058
35,0,12,14,0,12,15,16,LEVEL3,3,0,0.608276,-0.197168
36,0,12,0,0,0,0,0,END,0,0,0,0
37,0,13,0,1,0,1,2,LEVEL4,2,3,0.564584,-0.421805
38,0,13,1,0,0,3,4,LEVEL4,3,2,-1.13919,0.162454
39,0,13,3,0,1,5,6,LEVEL4,1,3,-4.84283,-0.864782
40,0,13,4,1,1,7,8,LEVEL4,1,2,-16.4321,3.23206
41,0,13,0,0,0,0,0,END,0,0,0,0
42,0,14,0,0,0,1,2,LEVEL5,0,1,-0.434651,-0.939841
43,0,14,2,1,0,3,4,LEVEL5,1,0,0.0805647,-0.626449
44,0,14,3,0,2,5,6,LEVEL5,0,3,-5.96931,-26.112
45,0,14,6,0,3,7,8,LEVEL5,0,2,0.0325165,0.819733
46,0,14,7,0,6,9,10,LEVEL5,1,3,-2.36064,-1.0145
47,0,14,10,0,7,11,12,LEVEL5,3,0,-0.457562,-0.197157
48,0,14,4,1,2,13,14,LEVEL5,2,0,7.19961,0.537747
49,0,14,0,0,0,0,0,END,0,0,0,0
50,0,15,0,0,0,1,2,LEVEL6,2,3,0.0768889,-0.604266
51,0,15,2,0,0,3,4,LEVEL6,2,1,-2.74179,-1.41772
52,0,15,0,0,0,0,0,END,0,0,0,0
53,0,16,0,1,0,1,2,LEVEL7,1,2,-0.53684,-0.990554
54,0,16,2,0,0,3,4,LEVEL7,3,2,5.41798,-1.39522
55,0,16,4,0,2,5,6,LEVEL7,3,1,0.165918,-0.131891
56,0,16,0,0,0,0,0,END,0,0,0,0
57,0,17,0,2,0,1,2,LEVEL8,1,3,0.0317995,0.219869
58,0,17,2,0,0,3,4,LEVEL8,1,2,10.5417,-15.4468
59,0,17,3,1,2,5,6,LEVEL8,2,3,-0.4989,0.891703
60,0,17,5,0,3,7,8,LEVEL8,1,0,-1.74908,7.89313
61,0,17,6,1,3,9,10,LEVEL8,0,2,-1.4476,-2.39442
62,0,17,4,0,2,11,12,LEVEL8,3,0,0.142809,-2.22225
63,0,17,11,0,4,13,14,LEVEL8,3,1,-1.14829,1.44297
64,0,17,13,0,11,15,16,LEVEL8,3,2,0.00287901,1.12721
65,0,17,14,0,11,17,18,LEVEL8,2,1,2.08324,-6.62657
66,0,17,0,0,0,0,0,END,0,0,0,0
67,0,18,0,0,0,1,2,LEVEL9,0,1,-0.392834,-0.574584
68,0,18,2,0,0,3,4,LEVEL9,1,2,-0.0785652,0.0835177
69,0,18,4,0,2,5,6,LEVEL9,2,0,-0.101234,0.656091
70,0,18,0,0,0,0,0,END,0,0,0,0
71,0,19,0,3,0,1,2,LEVEL10,0,3,18.9676,-13.386
72,0,19,1,0,0,3,4,LEVEL10,1,0,0.464901,1.68824
73,0,19,3,0,1,5,6,LEVEL10,1,2,0.040089,-0.154438
74,0,19,5,1,3,7,8,LEVEL10,2,0,0.135153,1.07553
75,0,19,4,0,1,9,10,LEVEL10,0,2,-0.327061,0.755178
76,0,19,2,2,0,11,12,LEVEL10,3,2,8.75522,-12.5851
77,0,19,12,1,2,13,14,LEVEL10,3,1,-1.10898,-2.16465
78,0,19,0,0,0,0,0,END,0,0,0,0
79,0,21,0,1,0,1,2,LEVEL1,1,3,3.92375,2.53721
80,0,21,0,0,0,0,0,END,0,0,0,0
81,0,22,0,0,0,1,2,LEVEL2,2,0,-1.159,0.601885
