19,1.5,2.17054263566,15,4
63,0.5,1.62297128589,7,3
95,0.0,20.2757502028,9,4
138,0.5,34.096692112,7,3
161,1.5,7.29813664596,11,3
173,2.0,6.90121786198,13,5
188,0.0,34.5147679325,7,3
200,1.0,43.6231884058,7,3
218,2.5,22.0250521921,7,3
233,3.5,4.1313559322,9,4
249,3.0,21.0473313192,103,6
277,0.0,34.4276094276,7,3
309,0.0,2.49687890137,7,3
684,2.0,2.96150049358,11,4
730,2.0,3.88349514563,9,4
795,0.5,5.97014925373,13,4
806,1.0,39.2892398815,13,5
850,1.0,2.73631840796,7,3
871,0.0,2.00250312891,7,3
898,0.5,34.7141673571,7,3
914,0.5,40.2298850575,9,4
950,25.0,6.77083333333,7,3
962,0.5,20.8588957055,7,3
1032,2.0,4.70446320869,11,4
1045,2.5,7.74818401937,7,3
1061,3.0,7.59493670886,9,4
1086,1.5,11.8741058655,13,5
1098,17.0,26.4788732394,7,3
1122,2.0,23.5006119951,13,4
1233,0.0,2.01005025126,7,3
1250,24.5,40.7258064516,5,2
1262,0.5,35.8024691358,7,3
1277,0.5,49.5730788548,19,6
1301,1.0,30.5309734513,15,6
1364,4.5,3.03712035996,11,5
1384,3.5,8.91330891331,15,5
1408,1.5,5.24296675192,13,5
1459,1.0,12.8888888889,11,3
1470,0.5,1.88205771644,7,3
1482,0.5,2.18855218855,13,5
1501,3.0,43.5803374908,7,3
1513,2.0,5.66502463054,9,3
1526,0.5,34.5484672742,7,3
1548,0.0,21.4285714286,7,3
1561,0.5,43.7138728324,7,3
1575,1.0,4.94590417311,11,4
1589,0.5,21.1967545639,7,3
1601,1.0,21.9536757301,7,3
1613,1.0,35.5296080067,7,3
1626,1.0,4.46153846154,11,3
1640,0.0,20.7750269107,17,5
1654,0.0,2.3199023199,7,3
1670,0.5,7.12121212121,13,4
1697,1.5,19.6511627907,9,4
1739,5.5,9.02612826603,7,3
1772,49.5,66.0281690141,5,2
1783,14.5,14.0625,7,3
1813,0.5,21.2121212121,7,3
1875,0.5,3.73532550694,25,5
1893,0.0,2.375,7,3
1926,0.0,1.62094763092,7,3
1939,0.0,0.776196636481,7,3
1969,2.5,48.7431693989,25,6
1988,3.0,37.9159369527,17,5
2026,0.0,20.7753479125,7,3
2058,2.0,5.92964824121,23,6
